id,AR_usage,Country,Order_size,Payment_method,New_customers,Old_customers_tenure,Product_return,Channel,Order_day,Order_hour
110,1,NL,-0.197203332,ideal,1,-0.693841827,0,Paid Search Branded,4,15
111,0,NL,0.264606256,ideal,1,-0.693841827,0,Affiliate,4,15
112,0,NL,-0.428108126,ideal,0,-0.610982467,0,Organic Search,4,15
113,0,NL,0.524662781,ideal,0,1.294659332,0,Direct Access,4,15
114,1,NL,-0.861343246,ideal,1,-0.693841827,0,Organic Search,4,15
115,0,NL,0.437784852,ideal,1,-0.693841827,0,Paid Search Non-Branded,4,15
116,1,NL,0.351484185,ideal,0,1.333187082,0,Direct Access,4,15
117,0,NL,0.293469356,ideal,0,-0.610982467,1,Paid Search Branded,4,15
118,1,BE,0.062564561,ideal,1,-0.693841827,1,Organic Search,4,15
119,0,NL,0.149153859,ideal,0,0.156608864,0,Paid Search Branded,4,15
120,0,NL,-0.658724289,ideal,1,-0.693841827,0,Paid Search Branded,4,15
121,0,NL,-0.485545694,ideal,1,-0.693841827,0,Paid Search Branded,4,16
122,0,NL,0.726415845,ideal,0,1.605845006,1,Paid Search Non-Branded,4,16
123,1,NL,-0.31294436,ideal,0,0.918272849,0,Paid Search Branded,4,16
124,1,NL,0.553237249,ideal,0,1.211676485,1,Direct Access,4,16
125,1,NL,-0.197203332,ideal,1,-0.693841827,0,Paid Search Branded,4,16
126,0,NL,2.031316562,ideal,0,1.851829873,0,Direct Access,4,16
127,1,NL,1.708049851,ideal,1,-0.693841827,0,Paid Search Non-Branded,4,16
128,0,NL,0.437784852,ideal,1,-0.693841827,1,Organic Search,4,16
129,0,NL,-0.890206345,ideal,0,0.011388883,0,Paid Search Branded,4,16
130,0,NL,-0.658724289,ideal,0,1.259095254,1,Organic Search,4,16
131,0,NL,0.120579391,ideal,0,1.460625025,0,Paid Search Non-Branded,4,16
132,1,NL,0.697841376,ideal,1,-0.693841827,0,Organic Search,4,16
133,1,NL,-0.600998091,ideal,0,0.292937827,0,Direct Access,4,16
134,0,NL,-0.572423622,ideal,1,-0.693841827,0,Paid Search Non-Branded,4,16
135,0,NL,-0.889629083,ideal,1,-0.693841827,0,Paid Search Branded,4,16
136,0,NL,-0.600998091,ideal,1,-0.693841827,0,Paid Search Branded,4,16
137,1,NL,1.130787865,ideal,1,-0.693841827,0,Paid Search Branded,4,16
138,1,NL,-0.600998091,ideal,0,0.2959015,1,Paid Search Non-Branded,4,17
139,1,NL,-0.341230197,visa,0,0.070662345,1,Paid Search Branded,4,17
140,1,NL,-0.889917714,ideal,1,-0.693841827,0,Paid Search Non-Branded,4,17
141,0,NL,0.062853192,ideal,0,-0.282014753,0,Organic Search,4,17
142,1,NL,-0.456971225,ideal,1,-0.693841827,0,Paid Search Branded,4,17
143,1,NL,-0.456682594,visa,1,-0.693841827,0,Paid Search Branded,4,17
144,0,NL,0.120579391,ideal,1,-0.693841827,1,Paid Search Non-Branded,4,17
